file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,136,css,1afe3beb,nisharonn,2025-01-22,22:24:47,-08:00,2025-01-22T22:24:47-08:00,0,12
style.css,137,css,1afe3beb,nisharonn,2025-01-22,22:24:47,-08:00,2025-01-22T22:24:47-08:00,0,14
style.css,138,css,1afe3beb,nisharonn,2025-01-22,22:24:47,-08:00,2025-01-22T22:24:47-08:00,0,0
style.css,139,css,1afe3beb,nisharonn,2025-01-22,22:24:47,-08:00,2025-01-22T22:24:47-08:00,0,0
style.css,140,css,1afe3beb,nisharonn,2025-01-22,22:24:47,-08:00,2025-01-22T22:24:47-08:00,0,7
style.css,141,css,1afe3beb,nisharonn,2025-01-22,22:24:47,-08:00,2025-01-22T22:24:47-08:00,0,14
style.css,142,css,1afe3beb,nisharonn,2025-01-22,22:24:47,-08:00,2025-01-22T22:24:47-08:00,0,20
style.css,143,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,0
style.css,144,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,0
style.css,145,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,18
style.css,146,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,13
style.css,147,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,37
style.css,148,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,9
style.css,149,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,0
style.css,150,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,0
style.css,151,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,37
style.css,152,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,19
style.css,153,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,9
style.css,154,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,0
style.css,155,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,0
style.css,156,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,18
style.css,157,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,17
style.css,158,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,0
style.css,159,css,d087eab1,nisharonn,2025-01-30,22:53:46,-08:00,2025-01-30T22:53:46-08:00,0,0
style.css,160,css,f2d1c244,nisharonn,2025-02-08,21:10:58,-08:00,2025-02-08T21:10:58-08:00,0,0
style.css,161,css,f2d1c244,nisharonn,2025-02-08,21:10:58,-08:00,2025-02-08T21:10:58-08:00,0,14
style.css,162,css,f2d1c244,nisharonn,2025-02-08,21:10:58,-08:00,2025-02-08T21:10:58-08:00,0,38
style.css,163,css,f2d1c244,nisharonn,2025-02-08,21:10:58,-08:00,2025-02-08T21:10:58-08:00,0,18
style.css,164,css,f2d1c244,nisharonn,2025-02-08,21:10:58,-08:00,2025-02-08T21:10:58-08:00,0,16
style.css,165,css,f2d1c244,nisharonn,2025-02-08,21:10:58,-08:00,2025-02-08T21:10:58-08:00,0,0
style.css,166,css,f2d1c244,nisharonn,2025-02-08,21:10:58,-08:00,2025-02-08T21:10:58-08:00,0,0
style.css,167,css,f2d1c244,nisharonn,2025-02-08,21:10:58,-08:00,2025-02-08T21:10:58-08:00,0,17
style.css,168,css,f2d1c244,nisharonn,2025-02-08,21:10:58,-08:00,2025-02-08T21:10:58-08:00,0,13
style.css,169,css,f2d1c244,nisharonn,2025-02-08,21:10:58,-08:00,2025-02-08T21:10:58-08:00,0,22
style.css,170,css,f2d1c244,nisharonn,2025-02-08,21:10:58,-08:00,2025-02-08T21:10:58-08:00,0,12
style.css,171,css,f2d1c244,nisharonn,2025-02-08,21:10:58,-08:00,2025-02-08T21:10:58-08:00,0,0
style.css,172,css,f2d1c244,nisharonn,2025-02-08,21:10:58,-08:00,2025-02-08T21:10:58-08:00,0,0
style.css,173,css,f2d1c244,nisharonn,2025-02-08,21:10:58,-08:00,2025-02-08T21:10:58-08:00,0,19
